ADAMS, ILOCOS NORTE
ALEGRIA, CEBU
ALOGUINSAN, CEBU
ARGAO, CEBU
ASTURIAS, CEBU
BADIAN, CEBU
BALAMBAN, CEBU
BANTAYAN, CEBU
BARILI, CEBU
BOGO CITY, CEBU
BOLJOON, CEBU
BORBON, CEBU
CARCAR CITY, CEBU
CARMEN, CEBU
CATMON, CEBU
CEBU CITY (Capital), CEBU
COMPOSTELA, CEBU
CONSOLACION, CEBU
CORDOBA, CEBU
DAANBANTAYAN, CEBU
DALAGUETE, CEBU
DANAO CITY, CEBU
DUMANJUG, CEBU
GINATILAN, CEBU
LAPU-LAPU CITY (OPON), CEBU
LILOAN, CEBU
MADRIDEJOS, CEBU
MALABUYOC, CEBU
MANDAUE CITY, CEBU
MEDELLIN, CEBU
MINGLANILLA, CEBU
MOALBOAL, CEBU
NAGA CITY, CEBU
OSLOB, CEBU
PILAR, CEBU
PINAMUNGAHAN, CEBU
PORO, CEBU
RONDA, CEBU
SAMBOAN, CEBU
SAN FERNANDO, CEBU
SAN FRANCISCO, CEBU
SAN REMIGIO, CEBU
SANTA FE, CEBU
SANTANDER, CEBU
SIBONGA, CEBU
SOGOD, CEBU
TABOGON, CEBU
TABUELAN, CEBU
TALISAY CITY, CEBU
TOLEDO CITY, CEBU
TUBURAN, CEBU
TUDELA, CEBU
TALISAY CITY, CEBU
AMLAN (AYUQUITAN), NEGROS ORIENTAL
AYUNGON, NEGROS ORIENTAL
BACONG, NEGROS ORIENTAL
BAIS CITY, NEGROS ORIENTAL
BASAY, NEGROS ORIENTAL
BAYAWAN (TULONG) CITY, NEGROS ORIENTAL
BINDOY (PAYABON), NEGROS ORIENTAL
CANLAON CITY, NEGROS ORIENTAL
DAUIN, NEGROS ORIENTAL
DUMAGUETE CITY (Capital), NEGROS ORIENTAL
GUIHULNGAN CITY, NEGROS ORIENTAL
JIMALALUD, NEGROS ORIENTAL
LA LIBERTAD, NEGROS ORIENTAL
MABINAY, NEGROS ORIENTAL
MANJUYOD, NEGROS ORIENTAL
PAMPLONA, NEGROS ORIENTAL
SAN JOSE, NEGROS ORIENTAL
SANTA CATALINA, NEGROS ORIENTAL
SIATON, NEGROS ORIENTAL
SIBULAN, NEGROS ORIENTAL
TANJAY CITY, NEGROS ORIENTAL
TAYASAN, NEGROS ORIENTAL
VALENCIA (LUZURRIAGA), NEGROS ORIENTAL
VALLEHERMOSO, NEGROS ORIENTAL
ZAMBOANGUITA, NEGROS ORIENTAL
ENRIQUE VILLANUEVA, SIQUIJOR
LARENA, SIQUIJOR
LAZI, SIQUIJOR
MARIA, SIQUIJOR
SAN JUAN, SIQUIJOR
SIQUIJOR (Capital), SIQUIJOR
ARTECHE, EASTERN SAMAR
BALANGIGA, EASTERN SAMAR
BALANGKAYAN, EASTERN SAMAR
BORONGAN (Capital) CITY, EASTERN SAMAR
CAN-AVID, EASTERN SAMAR
DOLORES, EASTERN SAMAR
GENERAL MACARTHUR, EASTERN SAMAR
GIPORLOS, EASTERN SAMAR
GUIUAN, EASTERN SAMAR
HERNANI, EASTERN SAMAR
JIPAPAD, EASTERN SAMAR
LAWAAN, EASTERN SAMAR
LLORENTE, EASTERN SAMAR
MASLOG, EASTERN SAMAR
MAYDOLONG, EASTERN SAMAR
MERCEDES, EASTERN SAMAR
ORAS, EASTERN SAMAR
QUINAPONDAN, EASTERN SAMAR
SALCEDO, EASTERN SAMAR
SAN JULIAN, EASTERN SAMAR
SAN POLICARPO, EASTERN SAMAR
SULAT, EASTERN SAMAR
TAFT, EASTERN SAMAR
ABUYOG, LEYTE
ALANGALANG, LEYTE
ALBUERA, LEYTE
BABATNGON, LEYTE
BARUGO, LEYTE
BATO, LEYTE
BAYBAY CITY, LEYTE
BURAUEN, LEYTE
CALUBIAN, LEYTE
CAPOOCAN, LEYTE
CARIGARA, LEYTE
DAGAMI, LEYTE
DULAG, LEYTE
HILONGOS, LEYTE
HINDANG, LEYTE
INOPACAN, LEYTE
ISABEL, LEYTE
JARO, LEYTE
JAVIER (BUGHO), LEYTE
JULITA, LEYTE
KANANGA, LEYTE
LA PAZ, LEYTE
LEYTE, LEYTE
MACARTHUR, LEYTE
MAHAPLAG, LEYTE
MATAG-OB, LEYTE
MATALOM, LEYTE
MAYORGA, LEYTE
MERIDA, LEYTE
ORMOC CITY, LEYTE
PALO, LEYTE
PALOMPON, LEYTE
PASTRANA, LEYTE
SAN ISIDRO, LEYTE
SAN MIGUEL, LEYTE
SANTA FE, LEYTE
TABANGO, LEYTE
TABONTABON, LEYTE
TACLOBAN CITY (Capital), LEYTE
TANAUAN, LEYTE
TOLOSA, LEYTE
TUNGA, LEYTE
VILLABA, LEYTE
ALLEN, NORTHERN SAMAR
BIRI, NORTHERN SAMAR
BOBON, NORTHERN SAMAR
CAPUL, NORTHERN SAMAR
CATARMAN (Capital), NORTHERN SAMAR
CATUBIG, NORTHERN SAMAR
GAMAY, NORTHERN SAMAR
LAOANG, NORTHERN SAMAR
LAPINIG, NORTHERN SAMAR
LAS NAVAS, NORTHERN SAMAR
LAVEZARES, NORTHERN SAMAR
MAPANAS, NORTHERN SAMAR
MONDRAGON, NORTHERN SAMAR
PALAPAG, NORTHERN SAMAR
PAMBUJAN, NORTHERN SAMAR
ROSARIO, NORTHERN SAMAR
SAN ANTONIO, NORTHERN SAMAR
SAN ISIDRO, NORTHERN SAMAR
SAN JOSE, NORTHERN SAMAR
SAN ROQUE, NORTHERN SAMAR
SAN VICENTE, NORTHERN SAMAR
SILVINO LOBOS, NORTHERN SAMAR
VICTORIA, NORTHERN SAMAR
LOPE DE VEGA, NORTHERN SAMAR
ALMAGRO, SAMAR (WESTERN SAMAR)
BASEY, SAMAR (WESTERN SAMAR)
CALBAYOG CITY, SAMAR (WESTERN SAMAR)
CALBIGA, SAMAR (WESTERN SAMAR)
CATBALOGAN (Capital) CITY, SAMAR (WESTERN SAMAR)
DARAM, SAMAR (WESTERN SAMAR)
GANDARA, SAMAR (WESTERN SAMAR)
HINABANGAN, SAMAR (WESTERN SAMAR)
JIABONG, SAMAR (WESTERN SAMAR)
MARABUT, SAMAR (WESTERN SAMAR)
MATUGUINAO, SAMAR (WESTERN SAMAR)
MOTIONG, SAMAR (WESTERN SAMAR)
PINABACDAO, SAMAR (WESTERN SAMAR)
SAN JOSE DE BUAN, SAMAR (WESTERN SAMAR)
SAN SEBASTIAN, SAMAR (WESTERN SAMAR)
SANTA MARGARITA, SAMAR (WESTERN SAMAR)
SANTA RITA, SAMAR (WESTERN SAMAR)
SANTO NIÑO, SAMAR (WESTERN SAMAR)
TALALORA, SAMAR (WESTERN SAMAR)
TARANGNAN, SAMAR (WESTERN SAMAR)
VILLAREAL, SAMAR (WESTERN SAMAR)
PARANAS (WRIGHT), SAMAR (WESTERN SAMAR)
ZUMARRAGA, SAMAR (WESTERN SAMAR)
TAGAPUL-AN, SAMAR (WESTERN SAMAR)
SAN JORGE, SAMAR (WESTERN SAMAR)
PAGSANGHAN, SAMAR (WESTERN SAMAR)
ANAHAWAN, SOUTHERN LEYTE
BONTOC, SOUTHERN LEYTE
HINUNANGAN, SOUTHERN LEYTE
HINUNDAYAN, SOUTHERN LEYTE
LIBAGON, SOUTHERN LEYTE
LILOAN, SOUTHERN LEYTE
MAASIN (Capital) CITY, SOUTHERN LEYTE
MACROHON, SOUTHERN LEYTE
MALITBOG, SOUTHERN LEYTE
PADRE BURGOS, SOUTHERN LEYTE
PINTUYAN, SOUTHERN LEYTE
SAINT BERNARD, SOUTHERN LEYTE
SAN FRANCISCO, SOUTHERN LEYTE
SAN JUAN (CABALIAN), SOUTHERN LEYTE
SAN RICARDO, SOUTHERN LEYTE
SILAGO, SOUTHERN LEYTE
SOGOD, SOUTHERN LEYTE
TOMAS OPPUS, SOUTHERN LEYTE
LIMASAWA, SOUTHERN LEYTE
ALMERIA, BILIRAN
BILIRAN, BILIRAN
CABUCGAYAN, BILIRAN
CAIBIRAN, BILIRAN
CULABA, BILIRAN
KAWAYAN, BILIRAN
MARIPIPI, BILIRAN
NAVAL (Capital), BILIRAN
DAPITAN CITY, ZAMBOANGA DEL NORTE
DIPOLOG CITY (Capital), ZAMBOANGA DEL NORTE
KATIPUNAN, ZAMBOANGA DEL NORTE
LA LIBERTAD, ZAMBOANGA DEL NORTE
LABASON, ZAMBOANGA DEL NORTE
LILOY, ZAMBOANGA DEL NORTE
MANUKAN, ZAMBOANGA DEL NORTE
MUTIA, ZAMBOANGA DEL NORTE
PIÑAN (NEW PIÑAN), ZAMBOANGA DEL NORTE
POLANCO, ZAMBOANGA DEL NORTE
PRES. MANUEL A. ROXAS, ZAMBOANGA DEL NORTE
RIZAL, ZAMBOANGA DEL NORTE
SALUG, ZAMBOANGA DEL NORTE
SERGIO OSMEÑA SR., ZAMBOANGA DEL NORTE
SIAYAN, ZAMBOANGA DEL NORTE
SIBUCO, ZAMBOANGA DEL NORTE
SIBUTAD, ZAMBOANGA DEL NORTE
SINDANGAN, ZAMBOANGA DEL NORTE
SIOCON, ZAMBOANGA DEL NORTE
SIRAWAI, ZAMBOANGA DEL NORTE
TAMPILISAN, ZAMBOANGA DEL NORTE
JOSE DALMAN (PONOT), ZAMBOANGA DEL NORTE
GUTALAC, ZAMBOANGA DEL NORTE
BALIGUIAN, ZAMBOANGA DEL NORTE
GODOD, ZAMBOANGA DEL NORTE
BACUNGAN (Leon T. Postigo), ZAMBOANGA DEL NORTE
KALAWIT, ZAMBOANGA DEL NORTE
AURORA, ZAMBOANGA DEL SUR
BAYOG, ZAMBOANGA DEL SUR
DIMATALING, ZAMBOANGA DEL SUR
DINAS, ZAMBOANGA DEL SUR
DUMALINAO, ZAMBOANGA DEL SUR
DUMINGAG, ZAMBOANGA DEL SUR
KUMALARANG, ZAMBOANGA DEL SUR
LABANGAN, ZAMBOANGA DEL SUR
LAPUYAN, ZAMBOANGA DEL SUR
MAHAYAG, ZAMBOANGA DEL SUR
MARGOSATUBIG, ZAMBOANGA DEL SUR
MIDSALIP, ZAMBOANGA DEL SUR
MOLAVE, ZAMBOANGA DEL SUR
PAGADIAN CITY (Capital), ZAMBOANGA DEL SUR
RAMON MAGSAYSAY (LIARGO), ZAMBOANGA DEL SUR
SAN MIGUEL, ZAMBOANGA DEL SUR
SAN PABLO, ZAMBOANGA DEL SUR
TABINA, ZAMBOANGA DEL SUR
TAMBULIG, ZAMBOANGA DEL SUR
TUKURAN, ZAMBOANGA DEL SUR
ZAMBOANGA CITY, ZAMBOANGA DEL SUR
LAKEWOOD, ZAMBOANGA DEL SUR
JOSEFINA, ZAMBOANGA DEL SUR
PITOGO, ZAMBOANGA DEL SUR
SOMINOT (DON MARIANO MARCOS), ZAMBOANGA DEL SUR
VINCENZO A. SAGUN, ZAMBOANGA DEL SUR
GUIPOS, ZAMBOANGA DEL SUR
TIGBAO, ZAMBOANGA DEL SUR
ALICIA, ZAMBOANGA SIBUGAY
BUUG, ZAMBOANGA SIBUGAY
DIPLAHAN, ZAMBOANGA SIBUGAY
IMELDA, ZAMBOANGA SIBUGAY
IPIL (Capital), ZAMBOANGA SIBUGAY
KABASALAN, ZAMBOANGA SIBUGAY
MABUHAY, ZAMBOANGA SIBUGAY
MALANGAS, ZAMBOANGA SIBUGAY
NAGA, ZAMBOANGA SIBUGAY
OLUTANGA, ZAMBOANGA SIBUGAY
PAYAO, ZAMBOANGA SIBUGAY
ROSELLER LIM, ZAMBOANGA SIBUGAY
SIAY, ZAMBOANGA SIBUGAY
TALUSAN, ZAMBOANGA SIBUGAY
TITAY, ZAMBOANGA SIBUGAY
TUNGAWAN, ZAMBOANGA SIBUGAY
R.T. LIM, ZAMBOANGA SIBUGAY
BAUNGON, BUKIDNON
DAMULOG, BUKIDNON
DANGCAGAN, BUKIDNON
DON CARLOS, BUKIDNON
IMPASUG-ONG, BUKIDNON
KADINGILAN, BUKIDNON
KALILANGAN, BUKIDNON
KIBAWE, BUKIDNON
KITAOTAO, BUKIDNON
LANTAPAN, BUKIDNON
LIBONA, BUKIDNON
MALAYBALAY (Capital) CITY, BUKIDNON
MALITBOG, BUKIDNON
MANOLO FORTICH, BUKIDNON
MARAMAG, BUKIDNON
PANGANTUCAN, BUKIDNON
QUEZON, BUKIDNON
SAN FERNANDO, BUKIDNON
SUMILAO, BUKIDNON
TALAKAG, BUKIDNON
VALENCIA CITY, BUKIDNON
CABANGLASAN, BUKIDNON
CATARMAN, CAMIGUIN
GUINSILIBAN, CAMIGUIN
MAHINOG, CAMIGUIN
MAMBAJAO (Capital), CAMIGUIN
SAGAY, CAMIGUIN
BACOLOD, LANAO DEL NORTE
BALOI, LANAO DEL NORTE
BAROY, LANAO DEL NORTE
ILIGAN CITY, LANAO DEL NORTE
KAPATAGAN, LANAO DEL NORTE
SULTAN NAGA DIMAPORO (KAROMATAN), LANAO DEL NORTE
KAUSWAGAN, LANAO DEL NORTE
KOLAMBUGAN, LANAO DEL NORTE
LALA, LANAO DEL NORTE
LINAMON, LANAO DEL NORTE
MAGSAYSAY, LANAO DEL NORTE
MAIGO, LANAO DEL NORTE
MATUNGAO, LANAO DEL NORTE
MUNAI, LANAO DEL NORTE
NUNUNGAN, LANAO DEL NORTE
PANTAO RAGAT, LANAO DEL NORTE
POONA PIAGAPO, LANAO DEL NORTE
SALVADOR, LANAO DEL NORTE
SAPAD, LANAO DEL NORTE
TAGOLOAN, LANAO DEL NORTE
TANGCAL, LANAO DEL NORTE
TUBOD (Capital), LANAO DEL NORTE
PANTAR, LANAO DEL NORTE
ALORAN, MISAMIS OCCIDENTAL
BALIANGAO, MISAMIS OCCIDENTAL
BONIFACIO, MISAMIS OCCIDENTAL
CALAMBA, MISAMIS OCCIDENTAL
CLARIN, MISAMIS OCCIDENTAL
CONCEPCION, MISAMIS OCCIDENTAL
JIMENEZ, MISAMIS OCCIDENTAL
LOPEZ JAENA, MISAMIS OCCIDENTAL
OROQUIETA CITY (Capital), MISAMIS OCCIDENTAL
OZAMIS CITY, MISAMIS OCCIDENTAL
PANAON, MISAMIS OCCIDENTAL
PLARIDEL, MISAMIS OCCIDENTAL
SAPANG DALAGA, MISAMIS OCCIDENTAL
SINACABAN, MISAMIS OCCIDENTAL
TANGUB CITY, MISAMIS OCCIDENTAL
TUDELA, MISAMIS OCCIDENTAL
DON VICTORIANO CHIONGBIAN (DON MARIANO MARCOS), MISAMIS OCCIDENTAL
ALUBIJID, MISAMIS ORIENTAL
BALINGASAG, MISAMIS ORIENTAL
BALINGOAN, MISAMIS ORIENTAL
BINUANGAN, MISAMIS ORIENTAL
CAGAYAN DE ORO CITY (Capital), MISAMIS ORIENTAL
CLAVERIA, MISAMIS ORIENTAL
EL SALVADOR CITY, MISAMIS ORIENTAL
GINGOOG CITY, MISAMIS ORIENTAL
GITAGUM, MISAMIS ORIENTAL
INITAO, MISAMIS ORIENTAL
JASAAN, MISAMIS ORIENTAL
KINOGUITAN, MISAMIS ORIENTAL
LAGONGLONG, MISAMIS ORIENTAL
LAGUINDINGAN, MISAMIS ORIENTAL
LIBERTAD, MISAMIS ORIENTAL
LUGAIT, MISAMIS ORIENTAL
MAGSAYSAY (LINUGOS), MISAMIS ORIENTAL
MANTICAO, MISAMIS ORIENTAL
MEDINA, MISAMIS ORIENTAL
NAAWAN, MISAMIS ORIENTAL
OPOL, MISAMIS ORIENTAL
SALAY, MISAMIS ORIENTAL
SUGBONGCOGON, MISAMIS ORIENTAL
TAGOLOAN, MISAMIS ORIENTAL
TALISAYAN, MISAMIS ORIENTAL
VILLANUEVA, MISAMIS ORIENTAL
ASUNCION (SAUG), DAVAO DEL NORTE
CARMEN, DAVAO DEL NORTE
KAPALONG, DAVAO DEL NORTE
NEW CORELLA, DAVAO DEL NORTE
PANABO CITY, DAVAO DEL NORTE
ISLAND GARDEN SAMAL CITY, DAVAO DEL NORTE
SANTO TOMAS, DAVAO DEL NORTE
TAGUM (Capital) CITY, DAVAO DEL NORTE
TALAINGOD, DAVAO DEL NORTE
BRAULIO E. DUJALI, DAVAO DEL NORTE
SAN ISIDRO, DAVAO DEL NORTE
BANSALAN, DAVAO DEL SUR
DAVAO CITY, DAVAO DEL SUR
DIGOS (Capital CITY, DAVAO DEL SUR
HAGONOY, DAVAO DEL SUR
JOSE ABAD SANTOS (TRINIDAD), DAVAO DEL SUR
KIBLAWAN, DAVAO DEL SUR
MAGSAYSAY, DAVAO DEL SUR
MALALAG, DAVAO DEL SUR
MATANAO, DAVAO DEL SUR
PADADA, DAVAO DEL SUR
SANTA CRUZ, DAVAO DEL SUR
SULOP, DAVAO DEL SUR
BAGANGA, DAVAO ORIENTAL
BANAYBANAY, DAVAO ORIENTAL
BOSTON, DAVAO ORIENTAL
CARAGA, DAVAO ORIENTAL
CATEEL, DAVAO ORIENTAL
GOVERNOR GENEROSO, DAVAO ORIENTAL
LUPON, DAVAO ORIENTAL
MANAY, DAVAO ORIENTAL
MATI (Capital) CITY, DAVAO ORIENTAL
SAN ISIDRO, DAVAO ORIENTAL
TARRAGONA, DAVAO ORIENTAL
MALITA, DAVAO OCCIDENTAL
SANTA MARIA, DAVAO OCCIDENTAL
SARANGANI, DAVAO OCCIDENTAL
DON MARCELINO, DAVAO OCCIDENTAL
COMPOSTELA, COMPOSTELA VALLEY
LAAK (SAN VICENTE), COMPOSTELA VALLEY
MABINI (DOÑA ALICIA), COMPOSTELA VALLEY
MACO, COMPOSTELA VALLEY
MARAGUSAN (SAN MARIANO), COMPOSTELA VALLEY
MAWAB, COMPOSTELA VALLEY
MONKAYO, COMPOSTELA VALLEY
MONTEVISTA, COMPOSTELA VALLEY
NABUNTURAN (Capital), COMPOSTELA VALLEY
NEW BATAAN, COMPOSTELA VALLEY
PANTUKAN, COMPOSTELA VALLEY
ALAMADA, COTABATO (NORTH COTABATO)
CARMEN, COTABATO (NORTH COTABATO)
KABACAN, COTABATO (NORTH COTABATO)
KIDAPAWAN (Capital) CITY, COTABATO (NORTH COTABATO)
LIBUNGAN, COTABATO (NORTH COTABATO)
MAGPET, COTABATO (NORTH COTABATO)
MAKILALA, COTABATO (NORTH COTABATO)
MATALAM, COTABATO (NORTH COTABATO)
MIDSAYAP, COTABATO (NORTH COTABATO)
M'LANG, COTABATO (NORTH COTABATO)
PIGKAWAYAN, COTABATO (NORTH COTABATO)
PIKIT, COTABATO (NORTH COTABATO)
PRESIDENT ROXAS, COTABATO (NORTH COTABATO)
TULUNAN, COTABATO (NORTH COTABATO)
ANTIPAS, COTABATO (NORTH COTABATO)
BANISILAN, COTABATO (NORTH COTABATO)
ALEOSAN, COTABATO (NORTH COTABATO)
ARAKAN, COTABATO (NORTH COTABATO)
BANGA, SOUTH COTABATO
GENERAL SANTOS CITY (DADIANGAS), SOUTH COTABATO
KORONADAL (Capital) CITY, SOUTH COTABATO
NORALA, SOUTH COTABATO
POLOMOLOK, SOUTH COTABATO
SURALLAH, SOUTH COTABATO
TAMPAKAN, SOUTH COTABATO
TANTANGAN, SOUTH COTABATO
T'BOLI, SOUTH COTABATO
TUPI, SOUTH COTABATO
SANTO NIÑO, SOUTH COTABATO
LAKE SEBU, SOUTH COTABATO
BAGUMBAYAN, SULTAN KUDARAT
COLUMBIO, SULTAN KUDARAT
ESPERANZA, SULTAN KUDARAT
ISULAN (Capital), SULTAN KUDARAT
KALAMANSIG, SULTAN KUDARAT
LEBAK, SULTAN KUDARAT
LUTAYAN, SULTAN KUDARAT
LAMBAYONG (MARIANO MARCOS), SULTAN KUDARAT
PALIMBANG, SULTAN KUDARAT
PRESIDENT QUIRINO, SULTAN KUDARAT
TACURONG CITY, SULTAN KUDARAT
SEN. NINOY AQUINO, SULTAN KUDARAT
ALABEL (Capital), SARANGANI
GLAN, SARANGANI
KIAMBA, SARANGANI
MAASIM, SARANGANI
MAITUM, SARANGANI
MALAPATAN, SARANGANI
MALUNGON, SARANGANI
COTABATO CITY, MAGUINDANAO
BUENAVISTA, AGUSAN DEL NORTE
BUTUAN CITY (Capital), AGUSAN DEL NORTE
CABADBARAN CITY, AGUSAN DEL NORTE
CARMEN, AGUSAN DEL NORTE
JABONGA, AGUSAN DEL NORTE
KITCHARAO, AGUSAN DEL NORTE
LAS NIEVES, AGUSAN DEL NORTE
MAGALLANES, AGUSAN DEL NORTE
NASIPIT, AGUSAN DEL NORTE
SANTIAGO, AGUSAN DEL NORTE
TUBAY, AGUSAN DEL NORTE
REMEDIOS T. ROMUALDEZ, AGUSAN DEL NORTE
BAYUGAN CITY, AGUSAN DEL SUR
BUNAWAN, AGUSAN DEL SUR
ESPERANZA, AGUSAN DEL SUR
LA PAZ, AGUSAN DEL SUR
LORETO, AGUSAN DEL SUR
PROSPERIDAD (Capital), AGUSAN DEL SUR
ROSARIO, AGUSAN DEL SUR
SAN FRANCISCO, AGUSAN DEL SUR
SAN LUIS, AGUSAN DEL SUR
SANTA JOSEFA, AGUSAN DEL SUR
TALACOGON, AGUSAN DEL SUR
TRENTO, AGUSAN DEL SUR
VERUELA, AGUSAN DEL SUR
SIBAGAT, AGUSAN DEL SUR
ALEGRIA, SURIGAO DEL NORTE
BACUAG, SURIGAO DEL NORTE
BURGOS, SURIGAO DEL NORTE
CLAVER, SURIGAO DEL NORTE
DAPA, SURIGAO DEL NORTE
DEL CARMEN, SURIGAO DEL NORTE
GENERAL LUNA, SURIGAO DEL NORTE
GIGAQUIT, SURIGAO DEL NORTE
MAINIT, SURIGAO DEL NORTE
MALIMONO, SURIGAO DEL NORTE
PILAR, SURIGAO DEL NORTE
PLACER, SURIGAO DEL NORTE
SAN BENITO, SURIGAO DEL NORTE
SAN FRANCISCO (ANAO-AON), SURIGAO DEL NORTE
SAN ISIDRO, SURIGAO DEL NORTE
SANTA MONICA (SAPAO), SURIGAO DEL NORTE
SISON, SURIGAO DEL NORTE
SOCORRO, SURIGAO DEL NORTE
SURIGAO CITY (Capital), SURIGAO DEL NORTE
TAGANA-AN, SURIGAO DEL NORTE
TUBOD, SURIGAO DEL NORTE
BAROBO, SURIGAO DEL SUR
BAYABAS, SURIGAO DEL SUR
BISLIG CITY, SURIGAO DEL SUR
CAGWAIT, SURIGAO DEL SUR
CANTILAN, SURIGAO DEL SUR
CARMEN, SURIGAO DEL SUR
CARRASCAL, SURIGAO DEL SUR
CORTES, SURIGAO DEL SUR
HINATUAN, SURIGAO DEL SUR
LANUZA, SURIGAO DEL SUR
LIANGA, SURIGAO DEL SUR
LINGIG, SURIGAO DEL SUR
MADRID, SURIGAO DEL SUR
MARIHATAG, SURIGAO DEL SUR
SAN AGUSTIN, SURIGAO DEL SUR
SAN MIGUEL, SURIGAO DEL SUR
TAGBINA, SURIGAO DEL SUR
TAGO, SURIGAO DEL SUR
TANDAG (Capital) CITY, SURIGAO DEL SUR
BASILISA (RIZAL), DINAGAT ISLANDS
CAGDIANAO, DINAGAT ISLANDS
DINAGAT, DINAGAT ISLANDS
LIBJO (ALBOR), DINAGAT ISLANDS
LORETO, DINAGAT ISLANDS
SAN JOSE (Capital), DINAGAT ISLANDS
TUBAJON, DINAGAT ISLANDS
SAN JUAN CITY, METRO MANILA
MANILA CITY, METRO MANILA
MANDALUYONG CITY, METRO MANILA
MARIKINA CITY, METRO MANILA
PASIG CITY, METRO MANILA
QUEZON CITY, METRO MANILA
SAN JUAN CITY, METRO MANILA
CALOOCAN CITY, METRO MANILA
MALABON CITY, METRO MANILA
NAVOTAS CITY, METRO MANILA
VALENZUELA CITY, METRO MANILA
LAS PIÑAS CITY, METRO MANILA
MAKATI CITY, METRO MANILA
MUNTINLUPA CITY, METRO MANILA
PARAÑAQUE CITY, METRO MANILA
PASAY CITY, METRO MANILA
PATEROS, METRO MANILA
TAGUIG CITY, METRO MANILA
BANGUED (Capital), ABRA
BOLINEY, ABRA
BUCAY, ABRA
BUCLOC, ABRA
DAGUIOMAN, ABRA
DANGLAS, ABRA
DOLORES, ABRA
LA PAZ, ABRA
LACUB, ABRA
LAGANGILANG, ABRA
LAGAYAN, ABRA
LANGIDEN, ABRA
LICUAN-BAAY (LICUAN), ABRA
LUBA, ABRA
MALIBCONG, ABRA
MANABO, ABRA
PEÑARRUBIA, ABRA
PIDIGAN, ABRA
PILAR, ABRA
SALLAPADAN, ABRA
SAN ISIDRO, ABRA
SAN JUAN, ABRA
SAN QUINTIN, ABRA
TAYUM, ABRA
TINEG, ABRA
TUBO, ABRA
VILLAVICIOSA, ABRA
BAAY-LICUAN, ABRA
ATOK, BENGUET
BAGUIO CITY, BENGUET
BAKUN, BENGUET
BOKOD, BENGUET
BUGUIAS, BENGUET
ITOGON, BENGUET
KABAYAN, BENGUET
KAPANGAN, BENGUET
KIBUNGAN, BENGUET
LA TRINIDAD (Capital), BENGUET
MANKAYAN, BENGUET
SABLAN, BENGUET
TUBA, BENGUET
TUBLAY, BENGUET
BANAUE, IFUGAO
HUNGDUAN, IFUGAO
KIANGAN, IFUGAO
LAGAWE (Capital), IFUGAO
LAMUT, IFUGAO
MAYOYAO, IFUGAO
ALFONSO LISTA (POTIA), IFUGAO
AGUINALDO, IFUGAO
HINGYON, IFUGAO
TINOC, IFUGAO
ASIPULO, IFUGAO
BALBALAN, KALINGA
LUBUAGAN, KALINGA
PASIL, KALINGA
PINUKPUK, KALINGA
RIZAL (LIWAN), KALINGA
TABUK (Capital) CITY, KALINGA
TANUDAN, KALINGA
TINGLAYAN, KALINGA
BARLIG, MOUNTAIN PROVINCE
BAUKO, MOUNTAIN PROVINCE
BESAO, MOUNTAIN PROVINCE
BONTOC (Capital), MOUNTAIN PROVINCE
NATONIN, MOUNTAIN PROVINCE
PARACELIS, MOUNTAIN PROVINCE
SABANGAN, MOUNTAIN PROVINCE
SADANGA, MOUNTAIN PROVINCE
SAGADA, MOUNTAIN PROVINCE
TADIAN, MOUNTAIN PROVINCE
CALANASAN (BAYAG), APAYAO
CONNER, APAYAO
FLORA, APAYAO
KABUGAO (Capital), APAYAO
LUNA, APAYAO
PUDTOL, APAYAO
SANTA MARCELA, APAYAO
LAMITAN CITY, BASILAN
LANTAWAN, BASILAN
MALUSO, BASILAN
SUMISIP, BASILAN
TIPO-TIPO, BASILAN
TUBURAN, BASILAN
AKBAR, BASILAN
AL-BARKA, BASILAN
HADJI MOHAMMAD AJUL, BASILAN
UNGKAYA PUKAN, BASILAN
HADJI MUHTAMAD, BASILAN
TABUAN-LASA, BASILAN
BACOLOD-KALAWI (BACOLOD GRANDE), LANAO DEL SUR
BALABAGAN, LANAO DEL SUR
BALINDONG (WATU), LANAO DEL SUR
BAYANG, LANAO DEL SUR
BINIDAYAN, LANAO DEL SUR
BUBONG, LANAO DEL SUR
BUTIG, LANAO DEL SUR
GANASSI, LANAO DEL SUR
KAPAI, LANAO DEL SUR
LUMBA-BAYABAO (MAGUING), LANAO DEL SUR
LUMBATAN, LANAO DEL SUR
MADALUM, LANAO DEL SUR
MADAMBA, LANAO DEL SUR
MALABANG, LANAO DEL SUR
MARANTAO, LANAO DEL SUR
MARAWI CITY (Capital), LANAO DEL SUR
MASIU, LANAO DEL SUR
MULONDO, LANAO DEL SUR
PAGAYAWAN (TATARIKAN), LANAO DEL SUR
PIAGAPO, LANAO DEL SUR
POONA BAYABAO (GATA), LANAO DEL SUR
PUALAS, LANAO DEL SUR
DITSAAN-RAMAIN, LANAO DEL SUR
SAGUIARAN, LANAO DEL SUR
TAMPARAN, LANAO DEL SUR
TARAKA, LANAO DEL SUR
TUBARAN, LANAO DEL SUR
TUGAYA, LANAO DEL SUR
WAO, LANAO DEL SUR
MAROGONG, LANAO DEL SUR
CALANOGAS, LANAO DEL SUR
BUADIPOSO-BUNTONG, LANAO DEL SUR
MAGUING, LANAO DEL SUR
PICONG (Formerly SULTAN GUMANDER), LANAO DEL SUR
LUMBAYANAGUE, LANAO DEL SUR
